# Tera Type, mean, std, min, 25%, 50%, 75%, max
WTR,54.7911214337,23.1439126597,22.9548738424,35.1328874823,55.3828512269,66.4082246697,98.1079343776
ELC,45.0664939598,16.7290263688,23.3907880394,29.9457486403,45.6621945073,54.9087759875,75.2637487853
GRD,40.2566780425,12.5800229551,24.2120187764,28.5022480762,41.3729359755,47.9547317974,61.9477207769
---,25.2909169322,28.0219208337,5.1700118250,8.9888430041,18.9778516844,23.8977325429,100.0000000000
FIR,6.9285171311,1.3928479327,5.2848559845,5.7904261517,6.3083350352,8.4366777156,8.6856427082
