# Tera Type, mean, std, min, 25%, 50%, 75%, max
FGT,63.5543525658,13.2394443633,40.1304339901,52.6934309841,60.9563075552,70.3773412664,100.0000000000
GRD,58.4837349993,11.8119586344,39.5900168247,51.1280841481,56.9394057793,61.8505782645,93.8775552665
ELC,55.0289783284,14.8837480556,25.3377388573,44.5444999575,53.5067815944,65.6077080226,95.7796010922
WTR,52.6542098053,11.7397978923,26.5988466773,43.5251954293,52.0117397380,59.1019381363,82.3377693926
STL,49.2129539297,9.1552356401,29.3811614580,42.7793025752,48.9260964468,55.6294804469,74.3900563332
DRK,48.4875773212,14.5004462383,22.6778147767,37.4164761806,47.3967349230,57.6496164360,83.8481793894
FLY,47.8537860689,11.1432561064,27.0181428164,39.8488344084,47.1284219176,54.0337306228,77.6017781454
PSY,45.3729099081,11.6029376889,23.1385526654,36.5950814250,45.1254200458,53.7636199630,75.3568027652
GHT,44.6056854052,15.1064675654,14.6781768951,35.1879210593,41.4450695743,55.6696612407,80.8069040079
FIR,42.9071479695,10.6518785648,24.8168889673,35.7055685816,41.1969554837,48.5225338229,73.0527644479
BUG,42.7026575138,10.2142823704,21.7708965076,36.4328657182,42.6819720943,50.5208318765,70.0710889317
NRM,41.2702314344,13.8990740082,10.2209364486,31.3954250541,40.9139699181,50.4901345675,74.5283169624
DRG,41.1190065052,14.3394199921,8.7607713034,29.4404436840,41.2381223187,50.7277783921,79.3678335108
ICE,39.4028019205,9.8205033107,25.2495145472,32.7861786036,36.9289313148,42.7606612859,67.4093382984
PSN,38.1669660026,12.0700399704,11.2724755221,28.3780558202,37.3119478148,45.7209793709,70.0451766805
GRS,35.8985916815,9.0991948600,22.1870029522,30.0749805162,33.3922637834,40.0055536277,60.7288814621
---,34.0205223948,11.1890013507,6.7593707270,25.7778912950,33.4560230910,40.8194779475,71.6571747219
RCK,30.3823734909,8.5080312343,20.5239096203,23.9015979120,28.4201133744,34.6329429710,55.1593291054
