# Type 1, Type 2, Tera Type, Score
ELC,FGT,PSN,69.7508726039
GRS,GHT,FRY,69.6503239301
GRS,DRK,FRY,69.5851293065
GRD,PSY,ELC,69.5500877240
PSN,GHT,FRY,69.5399452156
PSN,DRK,FRY,69.5087538111
ICE,RCK,ICE,69.4709542763
FGT,FRY,FGT,69.3987003216
FIR,GRS,FRY,69.3788302214
FIR,ICE,ICE,69.3518968545
FGT,GHT,ELC,69.2068193320
GRD,RCK,RCK,69.1838754768
WTR,PSY,PSY,69.1117664954
FGT,DRK,ELC,69.0772490238
ICE,GRD,NRM,68.9664928656
PSY,RCK,PSY,68.9539445379
NRM,GRS,NRM,68.9356573371
FGT,GRD,GHT,68.8383534740
ICE,GHT,ICE,68.8300469796
ELC,PSN,FRY,68.8263252511
ICE,DRK,ICE,68.7919105695
WTR,FGT,FRY,68.7836247956
GRS,ICE,ICE,68.7409320250
ELC,ICE,ICE,68.7265720847
ICE,FLY,FLY,68.7248292577
PSN,GRD,NRM,68.6886627433
ICE,GRD,DRK,68.6788148762
GRD,BUG,PSN,68.6614198164
FGT,FLY,ELC,68.5927253035
WTR,RCK,FRY,68.5925781530
PSN,FLY,FLY,68.4426676070
ELC,GRS,ELC,68.4145186159
ICE,FGT,GRD,68.3704441314
NRM,PSN,PSN,68.3139350656
ELC,FGT,FGT,68.1659017620
FGT,PSN,GRD,68.0947687668
GRS,FLY,FLY,68.0755823609
ICE,PSN,FRY,68.0436089989
GRD,DRG,PSN,67.9984467554
PSN,FRY,GRD,67.8107704590
FGT,FLY,FLY,67.7996074618
NRM,RCK,NRM,67.7020828059
PSY,RCK,PSN,67.6906108659
GRD,FRY,FGT,67.6709683189
PSN,---,PSN,67.6352260394
GRD,RCK,GHT,67.5536084527
GHT,FRY,GHT,67.5489000512
FGT,PSN,WTR,67.5266437548
GRD,DRG,ELC,67.3678118823
ELC,PSY,PSY,67.3619004041
ICE,RCK,FRY,67.3604524168
NRM,ICE,NRM,67.3471096637
RCK,FRY,PSN,67.1375693251
ICE,GHT,GRD,67.0896577423
NRM,GHT,NRM,67.0853796507
NRM,DRK,NRM,67.0245934573
GRS,GRD,GHT,67.0183371803
FGT,FLY,PSN,66.9708957847
ICE,DRK,GRD,66.9600874340
NRM,PSN,NRM,66.9554745520
GRD,FLY,FLY,66.9174903043
FLY,GHT,FLY,66.9127833894
GRD,FLY,FRY,66.9011913020
ELC,FLY,FLY,66.8853063258
FLY,DRK,FLY,66.8746469794
PSN,GHT,GRD,66.8269020638
ICE,DRK,DRK,66.7904025971
PSN,DRK,GRD,66.7313349745
GRD,BUG,FRY,66.6988167605
NRM,WTR,WTR,66.6245554567
ICE,BUG,ICE,66.6155119702
GRS,DRK,DRK,66.4425859686
NRM,WTR,NRM,66.3845537079
GRD,DRK,FGT,66.3297957469
WTR,---,WTR,66.3216020425
PSY,BUG,PSY,66.3183010759
GRD,GHT,FGT,66.3005474970
WTR,GRD,FRY,66.2504013965
ICE,PSY,ICE,66.1721576031
WTR,FLY,FLY,66.0569307781
FGT,DRG,FGT,65.8633763184
WTR,GHT,FRY,65.8276667329
WTR,DRK,FRY,65.7624721093
FGT,RCK,RCK,65.7601619465
FIR,PSN,FRY,65.7088151387
FIR,GRD,FGT,65.6934090981
FGT,GRD,ICE,65.6685789924
ELC,GRD,FGT,65.6365626204
FIR,WTR,FRY,65.5185902007
GRD,FLY,GHT,65.4556976690
ELC,FGT,WTR,65.4446132735
NRM,ELC,ELC,65.3604553415
FGT,PSY,WTR,65.3329033758
FGT,FRY,PSN,65.3005245256
FGT,GHT,GRD,65.2669047998
WTR,ELC,FRY,65.2234722771
ELC,---,ELC,65.1959495987
FIR,FRY,FIR,65.1682560231
ICE,FGT,PSN,65.1656835835
FGT,DRK,GRD,65.1373344916
GRD,DRG,DRG,65.1334959773
WTR,GRD,FGT,65.0731046905
GHT,FRY,GRD,64.9947079327
DRK,FRY,GRD,64.9295133091
ICE,GHT,FRY,64.9196360719
