# Type 1, Type 2, Tera Type, Score
FIR,PSN,PSN,71.6608683098
GRS,PSY,PSY,71.6311602965
GRS,ICE,WTR,71.6298579186
PSY,FRY,FRY,71.5237177441
DRG,FRY,FRY,71.4940635318
FGT,GRD,WTR,71.4797574344
NRM,FRY,FRY,71.4780966419
FRY,---,FRY,71.4780966419
GRS,FGT,DRK,71.4421785336
GRS,STL,---,71.4305943964
FLY,DRG,FLY,71.3546018934
WTR,FGT,STL,71.3158088941
FGT,GRD,GRD,71.3081490874
FIR,GHT,FIR,71.2685019852
NRM,FGT,STL,71.2480942213
FGT,---,STL,71.2480942213
FIR,FGT,FIR,71.2365127519
FIR,ICE,FIR,71.2284512812
GRS,GRD,PSN,71.2281898078
FIR,DRK,FIR,71.2097695313
GRD,GHT,GRD,71.1400336186
GRD,DRK,GRD,71.1016010109
FLY,STL,---,71.0855067931
GRD,DRK,DRK,71.0521056747
GRS,FLY,STL,70.9699453832
DRK,FRY,STL,70.9420965041
FIR,PSY,FIR,70.9325843891
RCK,DRK,FRY,70.9004141752
RCK,GHT,FRY,70.8911370794
GRD,FLY,GRD,70.8618379465
GHT,FRY,STL,70.8310323201
GRD,RCK,WTR,70.7870564648
GRS,STL,WTR,70.6870954549
GRS,PSY,STL,70.6558355689
GRS,RCK,FGT,70.5347070812
PSN,PSY,PSN,70.4266532920
GRS,FRY,FGT,70.3925149335
RCK,FRY,WTR,70.3320149456
FGT,STL,FGT,70.1909900513
WTR,GHT,GHT,70.1892610982
NRM,GRD,NRM,70.1614004571
FIR,FRY,WTR,70.1315893323
BUG,RCK,STL,70.0957846368
NRM,FGT,FGT,70.0697331497
ICE,FGT,FLY,70.0606805055
BUG,DRK,STL,69.9863370070
FGT,---,FGT,69.9444722730
BUG,GHT,STL,69.8944679463
GRS,FGT,GHT,69.7867862477
GHT,STL,GHT,69.7805713500
FGT,PSY,PSN,69.7501824008
GRS,GRD,GHT,69.7352453753
ICE,BUG,STL,69.7195260644
FLY,DRK,STL,69.6866538388
ICE,DRK,DRK,69.6664073763
FLY,GHT,STL,69.5755896548
ICE,GRD,FLY,69.4817090008
