# Tera Type, mean, std, min, 25%, 50%, 75%, max
STL,68.7062390213,10.3192648802,46.5433848599,61.6632892800,67.7860134529,76.9712457311,95.1432216363
WTR,61.7415357938,13.2152845858,29.2378115945,51.4533059589,61.0398877739,70.3320149456,100.0000000000
FGT,55.3823553952,10.7997498890,36.4082684413,48.2787827935,53.0793233184,60.1954915648,84.8829040220
FRY,55.3556973969,14.0867649375,28.3077793986,45.0126104442,54.2639584496,64.5270561500,91.2057282930
FLY,52.1406572276,13.2001210816,24.9130301778,42.8750601145,49.2812378913,60.6185230879,86.9665610275
PSN,50.9000783581,12.4409533417,22.9924030162,40.7351825049,50.4922231343,59.6263978384,81.7868386711
FIR,49.8455476655,9.1558790358,30.6203317593,44.1675610228,49.3172577887,54.3077760998,74.2035600891
GRD,48.9770213192,9.3862933604,30.4515024382,42.8998059852,48.1205518576,52.7955414327,77.6408322393
GHT,45.8940705209,14.7791872676,14.7896251044,35.3822531501,45.9394694833,55.2957797367,80.6841094190
PSY,44.4432974540,11.7852872362,21.0452797419,36.1619200200,43.5816591073,51.8696397537,72.2907513167
DRK,43.9323380400,12.8476684615,21.2964802045,33.4728186053,44.3542621135,51.9494220839,75.8771371183
NRM,43.4343895172,13.2210766463,12.1541441297,33.4958296911,43.3009122304,52.0686986777,73.0913408217
BUG,40.4923465230,8.7122638779,19.6564619361,34.4963591356,39.7266101086,46.0693172444,62.6325521159
GRS,40.3247216267,8.8169125917,26.0203180553,34.6724360568,38.5127771704,43.0981133015,67.5857415996
ICE,37.4483089821,8.5063251401,23.5545257658,30.7013868756,36.4342047595,40.8634810266,65.6254478480
DRG,36.4070053519,12.1139696564,8.1642171191,26.7288093144,36.6359815368,45.6686560666,64.4832373717
---,36.0096500016,12.7982533452,7.0361494998,26.6302657950,33.6114204221,43.5802377226,72.6750851127
RCK,32.9026797818,7.6746012173,22.7785275034,28.3704682684,30.9038391215,35.2438856350,55.4288430037
