# Type 1, Type 2, Tera Type, Score
FGT,GHT,WTR,71.9936772108
DRK,FRY,GRD,71.9777294720
GHT,FRY,GRD,71.9711256150
FGT,DRK,WTR,71.9368388422
WTR,ELC,ELC,71.7966390743
WTR,GHT,GHT,71.7785959767
GRD,FLY,GHT,71.7317650043
GRS,GRD,DRK,71.7300916708
PSN,GRD,STL,71.6127692855
FGT,PSY,WTR,71.5783823828
FGT,RCK,STL,71.4925304896
FIR,RCK,FIR,71.4718393581
GRD,RCK,GHT,71.1538488672
FGT,STL,FGT,71.1034037389
GRD,DRK,FGT,71.0535801178
GRD,GHT,FGT,71.0328641570
NRM,FGT,FGT,71.0046341372
GRD,FLY,---,70.9679605677
DRG,STL,STL,70.9234916894
FGT,---,FGT,70.8887093925
FIR,FGT,FIR,70.8539924829
ELC,GRD,GHT,70.8418906939
WTR,GRD,---,70.7976720724
ICE,GRD,PSY,70.7436025793
WTR,STL,STL,70.7372789002
FIR,GHT,FIR,70.7100823705
ICE,BUG,GRD,70.6959005846
FGT,GRD,GHT,70.6908918722
FIR,DRK,FIR,70.6604695913
ELC,GRD,FGT,70.6236086575
FGT,GHT,GRD,70.6120355146
WTR,GRD,FGT,70.5843145187
FGT,DRK,GRD,70.5551971460
ELC,DRG,ELC,70.4666173299
FIR,GRD,FGT,70.4559595088
FGT,FRY,ELC,70.4367391430
FIR,PSY,FIR,70.3688618470
ICE,GRD,PSN,70.3584504994
GRS,FGT,STL,70.3338801304
GRD,RCK,FRY,70.3302813357
GHT,STL,GHT,70.3236573071
PSN,STL,STL,70.3171189441
ICE,STL,GRD,70.0578657078
ICE,FLY,FLY,69.9861612611
ICE,PSN,GRD,69.9670579120
WTR,GRD,ELC,69.9231563791
GRS,GRD,ELC,69.8991108243
FGT,PSN,ELC,69.8972655594
ELC,GHT,GHT,69.8878789477
GRD,BUG,BUG,69.8228930816
ELC,GRD,FRY,69.8207183767
NRM,GRD,ELC,69.8204767474
GRD,---,ELC,69.8204767474
FLY,GHT,GHT,69.7653193208
ICE,DRK,DRK,69.7184913691
GRS,GRD,PSN,69.6797538913
FIR,ELC,STL,69.6506750734
FIR,FGT,STL,69.6112530196
FGT,BUG,STL,69.5601832439
GRD,GHT,PSN,69.5121328988
GRD,DRK,PSN,69.4894524057
FGT,RCK,ELC,69.4661345240
GRD,DRK,FRY,69.4429683956
GRD,GHT,FRY,69.4363645386
GRS,FLY,FLY,69.3817709185
FGT,FLY,WTR,69.3725404029
FGT,GRD,FRY,69.3419098697
FGT,FLY,STL,69.3369457400
FIR,GRD,PSN,69.1963185890
FIR,ICE,FIR,69.0674623758
FGT,FRY,WTR,69.0204660390
WTR,GRD,STL,69.0192110939
PSY,GHT,GHT,68.9819795678
GRD,PSY,STL,68.9751228105
NRM,GRD,STL,68.9074874627
GRD,---,STL,68.9074874627
GRD,PSY,FGT,68.8265170871
RCK,FRY,GRD,68.8230773367
GRD,STL,GHT,68.7829343451
ELC,GRD,DRK,68.7747041066
ICE,PSY,PSY,68.7682544169
GRS,DRK,DRK,68.7249950348
NRM,STL,STL,68.6930264804
STL,---,STL,68.6930264804
FGT,PSY,STL,68.6180163840
FIR,WTR,FIR,68.5185360124
FIR,DRK,STL,68.5068441448
FIR,GRD,GHT,68.4699537481
FIR,GHT,STL,68.4398029195
FGT,FLY,GRD,68.4392077832
NRM,WTR,WTR,68.2451533774
FGT,FRY,GRD,68.2303548919
ELC,GRD,NRM,68.2217494117
GRD,STL,FRY,68.1819629927
GRD,DRK,NRM,68.1080318760
GRD,GHT,NRM,68.1014280190
FGT,RCK,WTR,68.1007840138
GRD,RCK,NRM,68.0623457040
FIR,PSN,PSN,67.9769472895
ICE,FGT,DRK,67.9301761927
GRD,PSY,PSN,67.8895410850
PSN,RCK,PSN,67.8783627201
ICE,PSY,GRD,67.8339316425
ELC,FLY,FLY,67.8235321360
PSN,GHT,GHT,67.8090931231
WTR,---,WTR,67.8018358414
FIR,BUG,FIR,67.7822602316
GRS,PSY,PSY,67.7587422268
GRD,RCK,FGT,67.6672197258
PSN,GRD,GHT,67.6666584576
GRS,FGT,WTR,67.6580469885
GRD,FRY,GHT,67.6533276864
FLY,DRK,GRD,67.6513776756
FLY,GHT,GRD,67.6447738186
WTR,FLY,FLY,67.6224041894
STL,FRY,GRD,67.6028602545
GRD,FRY,FIR,67.5973404759
ELC,GRS,ELC,67.5795948111
ELC,DRK,STL,67.5591002547
ICE,FGT,WTR,67.5439885012
GHT,FRY,GHT,67.5033010660
WTR,FRY,GRD,67.4959782282
ELC,GHT,STL,67.4920590294
FIR,GRD,FRY,67.4529607410
PSN,FRY,GRD,67.4519162681
FGT,RCK,GRD,67.4301912390
GRS,FRY,GRD,67.3510220434
FLY,DRK,FLY,67.3288485114
FLY,GHT,FLY,67.3249855027
FIR,PSN,FIR,67.2206682814
WTR,DRK,DRK,67.2062586266
ELC,BUG,STL,67.1426991164
PSN,PSY,PSN,67.1263155618
PSN,GRD,FRY,66.9801661482
FIR,FLY,FIR,66.7888235205
GRD,DRG,FGT,66.7703599649
FIR,PSY,PSY,66.7573214048
GRS,GRD,PSY,66.7085061761
FIR,STL,FIR,66.6509033869
RCK,GHT,GRD,66.6325414698
FGT,STL,ELC,66.6303028749
RCK,DRK,GRD,66.5757031013
FIR,DRG,FIR,66.5705261846
FGT,BUG,ELC,66.4739340020
FGT,FRY,STL,66.4511194863
GRD,BUG,NRM,66.4354916802
FGT,STL,WTR,66.4286827383
FGT,RCK,PSN,66.4266474203
FIR,FGT,ELC,66.3818559333
GRS,FLY,FGT,66.3792485015
FIR,ICE,GRD,66.3573538164
FGT,DRG,STL,66.3294897051
FGT,PSN,WTR,66.3189597664
GRD,STL,NRM,66.3080362261
ICE,RCK,GRD,66.2957426746
RCK,DRK,FRY,66.2759830829
RCK,GHT,FRY,66.2693792259
FGT,STL,GRD,66.2180233351
ICE,DRK,STL,66.1669803175
ICE,GHT,STL,66.0757522611
FGT,PSN,GRD,66.0740044530
WTR,PSY,PSY,66.0677113496
WTR,FGT,GRD,66.0454317080
RCK,DRK,DRK,66.0163556443
FIR,FLY,FLY,65.9556461446
GRS,FGT,GRD,65.9004755232
FIR,ELC,FIR,65.8939073116
FLY,RCK,FLY,65.8822569666
ICE,FGT,ELC,65.8814790323
ICE,GRD,ICE,65.7889447026
FGT,GRD,FIR,65.7606326202
FIR,FRY,ELC,65.6988157843
FIR,ICE,STL,65.6549313112
FIR,GRD,---,65.6447353780
FIR,BUG,STL,65.5821663935
FLY,STL,---,65.5766065929
NRM,ELC,ELC,65.5724501076
